event_id,m_gg
18869,120.69883300036443
18870,129.43641749808353
18871,130.18376355831433
18873,125.8707955852701
18874,120.23073642575073
18878,126.06870200762026
18881,126.11054423091977
18885,126.75496935326895
18887,128.38289305817273
18891,129.6994580173322
18894,118.42676364956033
18897,129.13669292056935
18899,125.10259535444601
18902,125.58819693388467
18903,124.19520094036676
18904,127.55450662356748
18907,125.32350664724196
18914,126.56795087063676
18916,122.67139784313645
18920,126.61546025177014
18921,120.31055173496449
18924,127.90763585441343
18925,125.05849318983348
18928,128.11096329317343
18930,125.5890471296043
18932,129.27589958017398
18939,123.87351787148695
18944,125.34649943982652
18947,122.21686450049708
18952,123.39053827281933
18958,127.6881738590606
18961,122.6371451058096
18969,127.85901401907515
18970,122.7300458631855
18973,129.70899191373667
18975,122.95739428740706
18981,126.95808682527057
18982,124.88579289433154
18986,127.51216061865021
18993,125.86668675800803
18994,124.86267710673283
18997,119.81151931615994
